_id,program_key,uid,name,degree,type,source,platforms[0],active,created_date,updated_date,deadlines[0].intake,deadlines[0].admission_start,deadlines[0].application_start_date,deadlines[0].deadline,tuition_cost,total_cost,duration,opm.duration.orignalValue,opm.duration.valueInWeeks,opm.duration.unitsToBeConverted,opm.duration.minValue,opm.duration.maxValue,opm.duration.displayValue,workload,admission_url,url,university_name,universityData.name,universityData.logo,universityData.country,aos[0].aos_name,course_specialization[0].name,course_specialization[1].name,opm.deadlines[0].deadline,opm.deadlines[0].admission_start,opm.deadlines[0].application_start_date,opm.deadlines[0].intake,opm.fees.baseValue,opm.fees.currency,opm.fees.amountInInr,"opm.fees.""fxRateToInr""","opm.fees.""fxRateAt"""
,,2,Advanced General Management Programme,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,212400,212400,10 months,10 months,44,weeks,44,44,44 weeks,Self Paced,https://www.simplilearn.com/advanced-general-management-course-iim-amritsar,https://www.simplilearn.com/advanced-general-management-course-iim-amritsar,Simplilearn,Simplilearn,,India,Leadership and Management,Leadership and People Management,Business Communication,,,,,212400,INR,212400,,
,,4,Advanced Project Management Program,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,2026-09-10T09:54:14Z,,,2026-08-14T09:57:41Z,150000,150000,5 months,5 months,22,weeks,22,22,22 weeks,Self Paced,https://www.simplilearn.com/advanced-project-management-course,https://www.simplilearn.com/advanced-project-management-course,Simplilearn,Simplilearn,,India,Strategic Management and AI,Strategic alignment,Decision making with AI,2026-08-14T09:57:41Z,,,2026-09-10T09:54:14Z,150000,INR,150000,,
,,7,Data Science Course,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,2026-08-29T09:54:14Z,,,,1099,1099,11 months,11 months,48,weeks,48,48,48 weeks,Self Paced,https://www.simplilearn.com/ae/data-science-course,https://www.simplilearn.com/ae/data-science-course,Simplilearn,Simplilearn,,India,Database Management and Python,Database Management SQL,Core Python Programming,,,,2026-08-29T09:54:14Z,1099,INR,1099,,
,,8,Tableau Desktop Specialist Certification Training,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,389,389,180 days,180 days,26,weeks,26,26,26 weeks,Self Paced,https://www.simplilearn.com/ae/tableau-certification-course,https://www.simplilearn.com/ae/tableau-certification-course,Simplilearn,Simplilearn,,India,Data Integration and Organization,Data Integration,Data Organization,,,,,389,INR,389,,
,,14,Applied Digital Marketing: AI Analytics & Automation,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,520000,520000,20 weeks ,20 weeks ,20,weeks,20,20,20 weeks,6-8hrs / Week,https://www.simplilearn.com/ai-digital-marketing-course,https://www.simplilearn.com/ai-digital-marketing-course,Simplilearn,Simplilearn,,India,Digital Marketing and Web Development,Digital marketing strategy,Website creation,,,,,520000,INR,520000,,
,,20,"Shailesh J. Mehta School of Management, IIT Bombay AI Strategy, Leadership & Transformation",Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,2026-10-22T09:54:14Z,,,2026-08-20T09:57:41Z,230100,230100,3 months,3 months,14,weeks,14,14,14 weeks,Self Paced,https://www.simplilearn.com/ai-strategy-leadership-transformation-course,https://www.simplilearn.com/ai-strategy-leadership-transformation-course,Simplilearn,Simplilearn,,India,Enterprise AI Strategy,Enterprise AI Strategy,Build AI Ready Teams,2026-08-20T09:57:41Z,,,2026-10-22T09:54:14Z,230100,INR,230100,,
,,23,Angular Training,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,28950,28950,180 days,180 days,26,weeks,26,26,26 weeks,Self Paced,https://www.simplilearn.com/angular-certification-training-course,https://www.simplilearn.com/angular-certification-training-course,Simplilearn,Simplilearn,,India,Angular and TypeScript,Angular architecture,Work with TypeScript,,,,,28950,INR,28950,,
,,25,Ansible 2.0 Training course,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,2310,2310,180 days,180 days,26,weeks,26,26,26 weeks,Self Paced,https://www.simplilearn.com/ansible-certification-training,https://www.simplilearn.com/ansible-certification-training,Simplilearn,Simplilearn,,India,Ansible Automation,Ansible 2 basics,Ansible 2 installation,,,,,2310,INR,2310,,
,,33,Data Science with R Programming,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,28320,28320,180 days,180 days,26,weeks,26,26,26 weeks,Self Paced,https://www.simplilearn.com/big-data-and-analytics/data-scientist-certification-sas-r-excel-training,https://www.simplilearn.com/big-data-and-analytics/data-scientist-certification-sas-r-excel-training,Simplilearn,Simplilearn,,India,Business Analytics,Business analytics,R programming and its packages,,,,,28320,INR,28320,,
,,34,Data Science Course,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,2026-08-29T09:54:14Z,,,,48305,48305,11 months,11 months,48,weeks,48,48,48 weeks,Self Paced,https://www.simplilearn.com/data-science-course,https://www.simplilearn.com/data-science-course,Simplilearn,Simplilearn,,India,Database Management and Python,Database Management SQL,Core Python Programming,,,,2026-08-29T09:54:14Z,48305,INR,48305,,
